Genus;species;Superfamily;Family;Subfamily;Tribe;Taxonomic_authority;Nest_location;Sociality;Parasitic;Dietary_specialization;Voltinism;ITfam;ITqueen;MaxLat;MinLat;n_Lat;Pheno_mean;pheno_q10;pheno_q90
Megachile;inermis;Apoidea;Megachilidae;Megachilinae;Megachilini;Provancher,1888;hole;Solitary;No;Polylectic;NA;4,28125;NA;47,4736;35,0525;47;210,551;183,046;234,146
Megachile;latimanus;Apoidea;Megachilidae;Megachilinae;Megachilini;Say,1823;soil;Solitary;No;Polylectic;NA;4,0625;NA;48,92166;35,43083;266;215,7401149;181,435;251,699
Megachile;melanophaea;Apoidea;Megachilidae;Megachilinae;Megachilini;Smith,1853;soil;Solitary;No;Polylectic;NA;3,890625;NA;49,551;41,65833;63;177,6816667;159,15;198,527
Megachile;mendica;Apoidea;Megachilidae;Megachilinae;Megachilini;Cresson,1878;hole;Solitary;No;Polylectic;Multivoltine;3,0625;NA;46,87722;25,3125;575;210,9634598;167,272;250,35
Megachile;petulans;Apoidea;Megachilidae;Megachilinae;Megachilini;Cresson,1878;hole;Solitary;No;Polylectic;NA;3,6875;NA;41,44641;25,1;150;216,9706667;194,377;238,827
Megachile;pugnata;Apoidea;Megachilidae;Megachilinae;Megachilini;Say,1837;hole;Solitary;No;Oligolectic;NA;3,53125;NA;46,87722;35,22722;53;200,4623333;181,071;221,903
Megachile;relativa;Apoidea;Megachilidae;Megachilinae;Megachilini;Cresson,1878;hole;Solitary;No;Polylectic;NA;2,984375;NA;49,551;34,73972;143;200,0886667;164,466;237,164
Megachile;texana;Apoidea;Megachilidae;Megachilinae;Megachilini;Cresson,1878;hole;Solitary;No;Polylectic;Multivoltine;3,340833333;NA;48,5578;26,14167;167;192,5826667;164,071;223,883
Melissodes;bimaculata;Apoidea;Apidae;Apinae;Eucerini;Lepeletier,1825;soil;Solitary;No;Polylectic;NA;2,92;NA;46,87722;25,3125;200;213,653;193,73;235,547
Melissodes;desponsa;Apoidea;Apidae;Apinae;Eucerini;Smith,1854;soil;Solitary;No;Oligolectic;NA;3,45;NA;46,88638;31,65667;121;230,3096667;211,493;252,731
Melissodes;druriella;Apoidea;Apidae;Apinae;Eucerini;Kirby,1802;soil;Solitary;No;Oligolectic;Univoltine;2,6;NA;48,36889;30,815;143;243,805;226,664;263,826
Nomada;articulata;Apoidea;Apidae;Nomadinae;Nomadini;Smith,1854;soil;Solitary;Yes;Polylectic;Multivoltine;1,53;NA;46,87722;35,29138;135;161,1016667;140,554;186,763
Nomada;bella;Apoidea;Apidae;Nomadinae;Nomadini;Cresson,1863;soil;Solitary;Yes;Polylectic;NA;1,15;NA;43,5319;40,02833;62;121,0303333;101,135;159,577
Nomada;cressonii;Apoidea;Apidae;Nomadinae;Nomadini;Robertson,1893;soil;Solitary;Yes;Polylectic;NA;1,74;NA;44,96;35,22722;197;148,7673333;130,581;168,684
Nomada;denticulata;Apoidea;Apidae;Nomadinae;Nomadini;Robertson,1902;soil;Solitary;Yes;Polylectic;NA;1,945;NA;43,5319;38,5831;56;147,7467126;125,147;170,184
Nomada;illinoensis;Apoidea;Apidae;Nomadinae;Nomadini;Robertson,1900;soil;Solitary;Yes;Polylectic;NA;1,2265625;NA;42,46333;35,3194;35;138,422;119,342;174,601
Nomada;imbricata;Apoidea;Apidae;Nomadinae;Nomadini;Smith,1854;soil;Solitary;Yes;Polylectic;NA;2,15;NA;43,5319;32,77639;68;141,294;120,862;156,902
Nomada;luteoloides;Apoidea;Apidae;Nomadinae;Nomadini;Robertson,1895;soil;Solitary;Yes;Polylectic;NA;1,81875;NA;43,5319;35,3;104;131,9783333;111,259;160,663
Nomada;maculata;Apoidea;Apidae;Nomadinae;Nomadini;Cresson,1863;soil;Solitary;Yes;Polylectic;NA;1,89;NA;46,25;39,57388;179;135,5786667;117,557;160,897
Nomada;pygmaea;Apoidea;Apidae;Nomadinae;Nomadini;Cresson,1863;soil;Solitary;Yes;Polylectic;NA;1,456666667;NA;43,5319;31,65667;143;152,652;123,526;182,543
Osmia;atriventris;Apoidea;Megachilidae;Megachilinae;Osmiini;Cresson,1864;hole;Solitary;No;Polylectic;NA;1,922;NA;46,87722;33,52805;191;156,895;126,082;190,946
Osmia;bucephala;Apoidea;Megachilidae;Megachilinae;Osmiini;Cresson,1864;hole;Solitary;No;Polylectic;NA;3,544;NA;46,3;35,06222;92;154,5513333;122,64;182,349
Osmia;lignaria;Apoidea;Megachilidae;Megachilinae;Osmiini;Say,1837;hole;Solitary;No;Polylectic;NA;3,4;NA;44,2476;33,74888;166;125,7047356;103,457;150,221
Osmia;pumila;Apoidea;Megachilidae;Megachilinae;Osmiini;Cresson,1864;hole;Solitary;No;Polylectic;NA;1,614444444;NA;44,86222;31,3269;290;150,0932759;121,228;180,471
Peponapis;pruinosa;Apoidea;Apidae;Apinae;Eucerini;Say,1837;soil;Solitary;No;Oligolectic;NA;3,706666667;NA;43,42611;29,7028;104;215,3728374;191,905;241,263
Perdita;octomaculata;Apoidea;Andrenidae;Panurginae;Perditini;Say,1824;soil;Solitary;No;Oligolectic;Univoltine;1,125;NA;44,18972;31,3972;38;241,3;214;264,7
Pseudopanurgus;andrenoides;Apoidea;Andrenidae;Panurginae;Protandrenini;Smith,1853;soil;Solitary;No;Oligolectic;NA;1,59375;NA;46,87722;35,79227;50;252,437;226,687;269,411
Sphecodes;aroniae;Apoidea;Halictidae;Halictinae;Halictini;Mitchell,1960;soil;Solitary;Yes;Polylectic;NA;1,471666667;NA;41,80888;31,65667;42;149,9723333;129,663;181,681
Sphecodes;confertus;Apoidea;Halictidae;Halictinae;Halictini;Say,1837;soil;Solitary;Yes;Polylectic;NA;1,481428571;NA;45,58111;33,88944;78;162,9883333;113,938;215,471
Sphecodes;coronus;Apoidea;Halictidae;Halictinae;Halictini;Mitchell,1956;soil;Solitary;Yes;Polylectic;NA;1,15625;NA;46,87389;31,65667;100;197,9166667;153,854;243,808
Sphecodes;davisii;Apoidea;Halictidae;Halictinae;Halictini;Robertson,1897;soil;Solitary;Yes;Polylectic;NA;1,55;NA;46,87722;35,6178;78;201,8249655;156,314;272,604
Sphecodes;dichrous;Apoidea;Halictidae;Halictinae;Halictini;Smith,1853;soil;Solitary;Yes;Polylectic;NA;1,5875;NA;46,87722;35,6178;67;184,8883333;143,593;213,86
Sphecodes;heraclei;Apoidea;Halictidae;Halictinae;Halictini;Robertson,1897;soil;Solitary;Yes;Polylectic;NA;1,333333333;NA;43,63527;29,63527;67;201,125;146,953;238,205
Sphecodes;ranunculi;Apoidea;Halictidae;Halictinae;Halictini;Robertson,1897;soil;Solitary;Yes;Polylectic;NA;2,0375;NA;46,87722;38,0903;64;153,0321724;129,259;186,616
Xylocopa;virginica;Apoidea;Apidae;Xylocopinae;Xylocopini;Linnaeus,1771;wood;Facultative;No;Polylectic;Multivoltine;6,068666667;NA;43,38583;28,0392;211;175,8866667;123,212;239,204
