Bee taxa;Intertegular distance (mm);Ground;Elevated
Apis mellifera ;2.83;1;5
Xylocopa iris ;4.28;0;3
Xylocopa violacea ;6.03;0;3
Halictus scabiosae;3.10;0;2
Lasioglossum malachurum ;1.40;22;25
Anthidium florentinum ;3.75;0;1
Lithurgus chrysurus ;2.90;1;1
Osmia erythrogastra ;1.57;5;0
Osmia bidentata ;1.63;1;0
Pseudoanthidium lituratum ;2.03;0;1
