genus;specie;m_body;se_body;n_body
Apis;dorsata;3,61;0,04;7
Amegilla;sp.;4,19;0,067;7
Nomia;concinna;2,63;0,037;5
Nomia;fulvata;2,67;0,057;7
Ceratina;cognata;1,88;0,037;5
Lasioglossum;halictoides;1,97;0,049;6
Lasioglossum;sp.;1,49;0,028;9
Trigona;sp.;1,41;0,021;8
Xylocopa;confusa;7,59;0,104;8
Xylocopa;dejeani;6,52;0,077;9
Xylocopa;nobilis;8,03;0,084;8
Apis;cerana;2,65;0,042;8
