Genus;specie;Nesting;ITD;Social;Pollen;Tongue;Lecty;Season
Bombus;vagans;Renter:existingcavitiesbelowground;7,34;Highlyeusocial;Corbiculae;long;Polylectic;year
Bombus;rufocinctus;Renter:existingcavitiesbelowground;6,37;Highlyeusocial;Corbiculae;long;Polylectic;year
Bombus;ternarius;Renter:existingcavitiesbelowground;;Highlyeusocial;Corbiculae;long;Polylectic;year
Bombus;bimaculatus;Renter:existingcavitiesbelowground;6,93;Highlyeusocial;Corbiculae;long;Polylectic;year
Bombus;fervidus;Renter:existingcavitiesbelowground;7;Highlyeusocial;Corbiculae;long;Polylectic;year
Bombus;citrinus;Socialparasite;6,5;Socialparasite;Accidental;long;Polylectic;summer
Bombus;perplexus;Renter:existingcavitiesbelowground;;Highlyeusocial;Corbiculae;long;Polylectic;year
Bombus;borealis;Renter:existingcavitiesbelowground;;Highlyeusocial;Corbiculae;long;Polylectic;year
Melissodes;desponsa;excavator:ground;4,05;Solitary;legsonly;long;Oligolectic;summer
Melissodes;trinodis;excavator:ground;3,3;Solitary;legsonly;long;Polylectic;summer
Melissodes;druriella;excavator:ground;3,26;Solitary;legsonly;long;Oligolectic;summer
Melissodes;illata;excavator:ground;3,3;Solitary;legsonly;long;Polylectic;summer
Melissodes;subillata;excavator:ground;3,7;Solitary;legsonly;long;Polylectic;summer
Peponapis;pruinosa;excavator:ground;3,94;Solitary;legsonly;long;Oligolectic;summer
Anthophora;terminalis;excavator:deadstem;3,04;Solitary;legsonly;long;Polylectic;summer
Ceratina;calcarata;excavator:deadstem;1,91;Solitary;legsonly;medium;Polylectic;year
Ceratina;mikmaqi;excavator:deadstem;1,81;Solitary;legsonly;medium;Polylectic;year
Ceratina;dupla;excavator:deadstem;1,2;Solitary;legsonly;medium;Polylectic;year
Xylocopa;virginica;excavator:deadstem;6,5;Solitary;legsonly;medium;Polylectic;summer
Megachile;inermis;Renter:existingcavitiesaboveground;5,51;Solitary;underside:abdomen;medium;Polylectic;summer
Megachile;frigida;Renter:existingcavitiesaboveground;3,46;Solitary;underside:abdomen;medium;Polylectic;summer
Megachile;rotundata;Renter:existingcavitiesaboveground;2,27;Solitary;underside:abdomen;medium;Polylectic;Spring:summer
Megachile;melanophaea;excavator:ground;4,4;Solitary;underside:abdomen;medium;Polylectic;summer
Megachile;pugnata;Renter:existingcavitiesaboveground;4,3;Solitary;underside:abdomen;medium;Polylectic;summer
Megachile;campanulae;Renter:existingcavitiesaboveground;2,26;Solitary;underside:abdomen;medium;Polylectic;summer
Megachile;centuncularis;Renter:existingcavitiesaboveground;3,3;Solitary;underside:abdomen;medium;Polylectic;summer
Megachile;relativa;Renter:existingcavitiesaboveground;3,51;Solitary;underside:abdomen;medium;Polylectic;summer
Megachile;latimanus;excavator:ground;4,34;Solitary;underside:abdomen;medium;Polylectic;summer
Megachile;gemula;Renter:existingcavitiesaboveground;4,38;Solitary;underside:abdomen;medium;Polylectic;summer
Megachile;texana;excavator:ground;3,56;Solitary;underside:abdomen;medium;Polylectic;summer
Megachile;brevis;Renter:existingcavitiesaboveground;3,13;NA;NA;NA;NA;NA
Megachile;mendica;Renter:existingcavitiesaboveground;3,36;Solitary;underside:abdomen;medium;Polylectic;summer
Megachile;lapponica;Renter:existingcavitiesaboveground;3,11;;underside:abdomen;medium;Polylectic;summer
Anthidium;manicatum;carder;4,13;Solitary;underside:abdomen;medium;Polylectic;summer
Anthidium;oblongatum;carder;3,6;Solitary;underside:abdomen;medium;Polylectic;summer
Anthidium;florentinum;carder;4,95;Solitary;underside:abdomen;medium;Polylectic;summer
Coelioxys;octodentata;cleptoparasite;2,87;Solitary;Accidental;medium;Polylectic;summer
Coelioxys;porterae;cleptoparasite;2,76;Solitary;Accidental;medium;Polylectic;summer
Heriades;carinata;Renter:existingcavitiesaboveground;1,67;Solitary;underside:abdomen;medium;Polylectic;summer
