Site;Date;Plant species;Pollinator species;Visits
Elefante;20/10/2012;Ouratea floribunda;Cephalotes pusillus;1
Elefante;20/10/2012;Qualia dichotoma;Xylocopa big;1
Elefante;20/10/2012;Qualia dichotoma;Chlorostilbon lucidus;1
Elefante;20/10/2012;Vellozia leptopetala;Centris (Hemisielaa) tarsata;1
Elefante;20/10/2012;Vellozia leptopetala;Galerucinae sp. 3;2
Elefante;20/10/2012;Vellozia leptopetala;Eumolpini sp. 4;1
Tinkerbell;21/10/2012;Lychnofora uniflora;Cephalotes pusillus;1
Tinkerbell;21/10/2012;Lychnofora uniflora;Diptera sp. 3;1
Tinkerbell;21/10/2012;Lychnofora uniflora;Braconidae sp. 2;1
Tinkerbell;21/10/2012;Lychnofora uniflora;Dialictus (Chloralictus) sp. 1;1
Tinkerbell;21/10/2012;Lychnofora uniflora;Braconidae sp. 1;1
Tinkerbell;21/10/2012;Lychnofora uniflora;Junonia sp.;1
Tinkerbell;21/10/2012;Lychnofora uniflora;Megachile (Pseudocentron) sp. 1;1
Tinkerbell;21/10/2012;Lychnofora uniflora;Dialictus (Chloralictus) sp. 1;1
Tinkerbell;21/10/2012;Spigelia schlechtendaliana;Heliactin bilophus;1
Tinkerbell;21/10/2012;Lychnofora uniflora;Ceratina (Crewella) sp. 2;1
Tinkerbell;21/10/2012;Lychnofora uniflora;Megachile (Pseudocentron) sp. 1;1
Tinkerbell;21/10/2012;Lychnofora uniflora;Junonia sp.;1
Tinkerbell;21/10/2012;Lychnofora uniflora;Dialictus (Chloralictus) sp. 1;3
Tinkerbell;21/10/2012;Lychnofora uniflora;Megachile (Pseudocentron) sp. 1;1
Tinkerbell;21/10/2012;Declieuxia fruticosa;Augochloropsis sp. 1;1
Tinkerbell;21/10/2012;Lychnofora uniflora;Megachile (Pseudocentron) sp. 1;1
Tinkerbell;21/10/2012;Lychnofora uniflora;Dialictus (Chloralictus) sp. 1;1
Tinkerbell;21/10/2012;Lychnofora uniflora;Megachile (Pseudocentron) sp. 2;1
Tinkerbell;21/10/2012;Ouratea floribunda;Tapinotaspidini sp. 1;1
Tinkerbell;21/10/2012;Hyptis lippioides;Heliactin bilophus;1
Tinkerbell;21/10/2012;Ouratea floribunda;Paroxystoglossa sp. 1;1
Tinkerbell;21/10/2012;Lychnofora uniflora;Dialictus (Chloralictus) sp. 1;2
Tinkerbell;21/10/2012;Declieuxia fruticosa;Bombus pauloensis;1
Soizig;22/10/2012;Lychnofora uniflora;Megachile (Pseudocentron) sp. 1;1
Soizig;22/10/2012;Lychnofora uniflora;Cephalotes pusillus;3
Soizig;22/10/2012;Ouratea floribunda;Centris (Hemisielaa) tarsata;1
Soizig;22/10/2012;Lychnofora uniflora;Diptera sp. 3;1
Soizig;22/10/2012;Remijia ferruginea;Heliactin bilophus;1
Soizig;22/10/2012;Qualia dichotoma;Heliactin bilophus;1
Soizig;22/10/2012;Qualia dichotoma;Xylocopa big;1
Soizig;22/10/2012;Qualia dichotoma;Heliactin bilophus;1
Soizig;22/10/2012;Qualia dichotoma;Centris (Hemisielaa) tarsata;1
Soizig;22/10/2012;Cuphea ericoides;Paroxystoglossa sp. 1;1
Soizig;22/10/2012;Cuphea ericoides;Tapinotaspidini sp. 1;2
Soizig;22/10/2012;Qualia dichotoma;Xylocopa big;1
Soizig;22/10/2012;Barbacenia flava;Ceratina (Rhysoceratina) volitans;1
Soizig;22/10/2012;Lychnofora uniflora;Synoeca surinama;1
Soizig;22/10/2012;Lychnofora uniflora;Bombus pauloensis;1
Soizig;22/10/2012;Lychnofora uniflora;Megachile (Pseudocentron) sp. 1;1
Soizig;22/10/2012;Lychnofora uniflora;Riodininae sp.;1
Soizig;22/10/2012;Erythroxylum suberosum;Cephalotes pusillus;1
Soizig;22/10/2012;Erythroxylum suberosum;Myzinum sp.;1
Soizig;22/10/2012;Erythroxylum suberosum;Polistes satan;1
Soizig;22/10/2012;Erythroxylum suberosum;Apis mellifera;2
Soizig;22/10/2012;Qualia dichotoma;Xylocopa big;1
Soizig;22/10/2012;Qualia dichotoma;Centris (Hemisielaa) tarsata;2
Soizig;22/10/2012;Qualia dichotoma;Megachile (Pseudocentron) sp. 1;1
Soizig;22/10/2012;Qualia dichotoma;Heliactin bilophus;1
Soizig;22/10/2012;Qualia dichotoma;Trupanea sp.;1
Paulino;23/10/2012;Lychnofora uniflora;Dialictus (Chloralictus) sp. 1;1
Paulino;23/10/2012;Lychnofora uniflora;Homophoeta sp.;1
Paulino;23/10/2012;Stryphnodendron sp.;Apis mellifera;1
Paulino;23/10/2012;Stryphnodendron sp.;Tapinotaspidini sp. 2;2
Paulino;23/10/2012;Erythroxylum suberosum;Alticini sp. 1;1
Paulino;23/10/2012;Cuphea ericoides;Centris (Hemisielaa) tarsata;1
Paulino;23/10/2012;Cuphea ericoides;Euglossa melanotrica;1
Paulino;23/10/2012;Byrsonima pachyphylla;Tapinotaspidini sp. 1;3
Paulino;23/10/2012;Byrsonima pachyphylla;Dialictus (Dialictus) sp. 1;3
Paulino;23/10/2012;Byrsonima pachyphylla;Paroxystoglossa sp. 1;2
Paulino;23/10/2012;Byrsonima pachyphylla;Unidentified Centris;1
Paulino;23/10/2012;Byrsonima pachyphylla;Dialictus (Dialictus) sp. 1;1
Paulino;23/10/2012;Byrsonima pachyphylla;Centris (Hemisielaa) tarsata;1
Paulino;23/10/2012;Heteropteris sp.;Centris (Hemisielaa) tarsata;1
Paulino;23/10/2012;Cuphea ericoides;Augochloropsis sp. 1;1
Paulino;23/10/2012;Cuphea ericoides;Dicranthidium sp.;1
Paulino;23/10/2012;Lychnofora rupestris;Dialictus (Chloralictus) sp. 1;2
Paulino;23/10/2012;Lychnofora rupestris;Cephalotes pusillus;5
Paulino;23/10/2012;Ilex sp.;Apis mellifera;15
Paulino;23/10/2012;Ilex sp.;Exomalopsis sp. 2;1
Paulino;23/10/2012;Ilex sp.;Campsomeris sp. 2;1
Paulino;23/10/2012;Camptosema isopetalum;Phoebis sennae;1
Paulino;23/10/2012;Lychnofora uniflora;Dialictus (Chloralictus) sp. 1;2
Paulino;23/10/2012;Gomphrena sp.;Madarini sp. 1;2
Paulino;23/10/2012;Gomphrena sp.;Tapinotaspidini sp. 1;1
Paulino;23/10/2012;Lychnofora uniflora;Dialictus (Chloralictus) sp. 1;1
Paulino;23/10/2012;Lychnofora uniflora;Unidentified Lepidoptera sp. 2;1
Paulino;23/10/2012;Lychnofora uniflora;Dialictus (Chloralictus) sp. 1;1
Paulino;23/10/2012;Lychnofora uniflora;Pseudagapostemon sp. 1;1
Paulino;23/10/2012;Lychnofora uniflora;Ceratina (Crewella) sp. 2;1
Paulino;23/10/2012;Lychnofora uniflora;Megachile (Pseudocentron) sp. 1;2
Paulino;23/10/2012;Erythroxylum suberosum;Pyrginae sp.;1
Paulino;23/10/2012;Erythroxylum suberosum;Euglossa melanotrica;1
Paulino;23/10/2012;Erythroxylum suberosum;Trigona spinipes;1
Paulino;23/10/2012;Erythroxylum suberosum;Augochloropsis sp. 1;1
Paulino;23/10/2012;Erythroxylum suberosum;Polistes satan;1
Paulino;23/10/2012;Erythroxylum suberosum;Apis mellifera;1
Paulino;23/10/2012;Erythroxylum suberosum;Leptotes sp.;1
Paulino;23/10/2012;Erythroxylum suberosum;Campsomeris sp. 2;1
Paulino;23/10/2012;Chaemecrista rotundata;Madarini sp. 1;1
Paulino;23/10/2012;Erythroxylum suberosum;Zethus brasiliensis brasiliensis;1
Paulino;23/10/2012;Gomphrena sp.;Exomalopsis sp. 2;1
Paulino;23/10/2012;Gomphrena sp.;Tapinotaspidini sp. 1;1
Gigante;24/10/2012;Asteraceae sp.;Apis mellifera;1
Gigante;24/10/2012;Asteraceae sp.;Megachile sp.;3
Gigante;24/10/2012;Asteraceae sp.;Ceratina (Crewella) sp. 3;1
Gigante;24/10/2012;Asteraceae sp.;Camponotus crassus;1
Gigante;24/10/2012;Barbacenia sp.;Dialictus (Chloralictus) sp. 1;2
Gigante;24/10/2012;Cyrtocymura scorpioides;Ceratina (Crewella) sp. 3;1
Gigante;24/10/2012;Asteraceae sp.;Megachile sp.;1
Gigante;24/10/2012;Diodella sp.;Ceratina (Crewella) sp. 3;3
Gigante;24/10/2012;Diodella sp.;Megachile sp.;1
Gigante;24/10/2012;Barbacenia sp.;Camponotus arboreus;1
Gigante;24/10/2012;Barbacenia sp.;Dialictus (Chloralictus) sp. 1;2
Gigante;24/10/2012;Cyrtocymura scorpioides;Ceratina (Crewella) sp. 3;1
Gigante;24/10/2012;Cyrtocymura scorpioides;Ceratina (Crewella) sp. 2;2
Gigante;24/10/2012;Diodella sp.;Phoebis sennae;1
Gigante;24/10/2012;Diodella sp.;Dialictus (Chloralictus) sp. 1;1
Gigante;24/10/2012;Diodella sp.;Ceratina (Crewella) sp. 3;1
Gigante;24/10/2012;Diodella sp.;Deopalpus sp.;1
