Plant Family;Plant genus;Plant specie;Pollinator Family;Pollinator genus;Pollinator specie;Interaction frequency;Site
Asteraceae;Hypochoeris;achyrophorus;Miridae;Lepydargyrus;ancorifer;0.01;SB
Asteraceae;Hypochoeris;achyrophorus;Nitidulidae;Meligethes;sp.;0.26;SB
Asteraceae;Hypochoeris;achyrophorus;Mordellidae;Mordellistena;sp.;0.04;SB
Asteraceae;Hypochoeris;achyrophorus;Oedemeridae;Oedemera;caudata;0.04;SB
Asteraceae;Hypochoeris;achyrophorus;Oedemeridae;Oedemera;flavipes;0.03;SB
Asteraceae;Hypochoeris;achyrophorus;Dasytidae;Psilotrix;sp. (illustris + cyaneus + aureolus);0.37;SB
Asteraceae;Hypochoeris;achyrophorus;Chrysomelidae;Spermophagus;sp.;0.22;SB
Asteraceae;Hypochoeris;achyrophorus;Curculionidae;Tychius;aureolus;0.06;SB
Leguminosae;Lotus;corniculatus;Apidae;Andrena; sp1 (ovatula + fulvipes);0.90;SB
Leguminosae;Lotus;corniculatus;Apidae;Apis;mellifera;1.06;SB
Leguminosae;Lotus;corniculatus;Tachinidae;Clairvillia;pninae;0.03;SB
Leguminosae;Lotus;corniculatus;Apidae;Colletes;abeillei;0.34;SB
Leguminosae;Lotus;corniculatus;Bibionidae;Dilophus;antipedalis;0.11;SB
Leguminosae;Lotus;corniculatus;Apidae;Hoplitis;leucomelans;0.20;SB
Leguminosae;Lotus;corniculatus;Apidae;Lasioglossum;malachurum;0.01;SB
Leguminosae;Lotus;corniculatus;Apidae;Megachile;apicalis;0.05;SB
Leguminosae;Lotus;corniculatus;Apidae;Megachile;pilidens;0.10;SB
Leguminosae;Lotus;corniculatus;Nitidulidae;Meligethes;sp.;0.03;SB
Leguminosae;Lotus;corniculatus;Apidae;Osmia;andrenoides;0.05;SB
Leguminosae;Lotus;corniculatus;Apidae;Osmia;aurulenta;0.05;SB
Leguminosae;Lotus;corniculatus;Apidae;Osmia;caerulescens;0.27;SB
Leguminosae;Lotus;corniculatus;Apidae;Osmia;versicolor;0.70;SB
Leguminosae;Lotus;corniculatus;Lycenidae;Polyommatus;icarus;0.34;SB
Leguminosae;Lotus;corniculatus;Apidae;Rhodanthidium;septemdentatum;0.03;SB
Leguminosae;Lotus;corniculatus;Sarcophagidae;Sarcophaga;villeneuveana;0.01;SB
Leguminosae;Lotus;corniculatus;Chrysomelidae;Spermophagus;sp.;0.01;SB
Leguminosae;Lotus;cytisoides;Apidae;Andrena ;sp1 (ovatula + fulvipes);0.18;SB
Leguminosae;Lotus;cytisoides;Apidae;Apis;mellifera;1.35;SB
Leguminosae;Lotus;cytisoides;Apidae;Bombus;terrestris;0.01;SB
Leguminosae;Lotus;cytisoides;Apidae;Ceratina ;sp. (cucurbitina + dellatorreana);0.06;SB
Leguminosae;Lotus;cytisoides;Bibionidae;Dilophus;antipedalis;0.06;SB
Leguminosae;Lotus;cytisoides;Formicidae;Linepithema;humile;0.01;SB
Leguminosae;Lotus;cytisoides;Nitidulidae;Meligethes;sp.;0.10;SB
Leguminosae;Lotus;cytisoides;Apidae;Osmia;caerulescens;0.02;SB
Leguminosae;Lotus;cytisoides;Apidae;Rhodanthidium;septemdentatum;0.13;SB
Leguminosae;Medicago;littoralis;Curculionidae;Curculionidae;sp1;0.01;SB
Leguminosae;Medicago;littoralis;Nitidulidae;Meligethes;sp.;0.26;SB
Leguminosae;Medicago;littoralis;Syrphidae;Paragus;tibialis;0.01;SB
Leguminosae;Medicago;littoralis;Lycenidae;Polyommatus;icarus;0.01;SB
Leguminosae;Medicago;littoralis;Tachinidae;Siphona;sp.;0.01;SB
Leguminosae;Melilotus;indica;Apidae;Andrena subgen. Micrandrena;;0.61;SB
Leguminosae;Melilotus;indica;Apidae;Andrena ;sp1 (ovatula + fulvipes);1.97;SB
Leguminosae;Melilotus;indica;Apidae;Andrena;sp4;0.45;SB
Leguminosae;Melilotus;indica;Apidae;Lasioglossum;griseolum;0.45;SB
Leguminosae;Melilotus;indica;Cantharidae;Rhagonycha;fulva;0.45;SB
Leguminosae;Melilotus;indica;Syrphidae;Sphaerophoria ;sp. (scripta + rueppellii);0.15;SB
Leguminosae;Melilotus;segetalis;Apidae;Andrena ;sp1 (ovatula + fulvipes);1.75;SB
Leguminosae;Melilotus;segetalis;Apidae;Apis;mellifera;7.11;SB
Leguminosae;Melilotus;segetalis;Syrphidae;Sphaerophoria ;sp. (scripta + rueppellii);0.02;SB
Scrophulariaceae;Parentucellia;viscosa;Apidae;Anthophora;plumipes;0.08;SB
Scrophulariaceae;Parentucellia;viscosa;Apidae;Lasioglossum;griseolum;0.03;SB
Rosaceae;Potentilla;reptans;Apidae;Andrena ;sp1 (ovatula + fulvipes);0.03;SB
Rosaceae;Potentilla;reptans;Apidae;Apis;mellifera;0.43;SB
Rosaceae;Potentilla;reptans;Blattodea;Blattodea;sp.;0.01;SB
Rosaceae;Potentilla;reptans;Chrysomelidae;Bruchidius;sp1;0.01;SB
Rosaceae;Potentilla;reptans;Apidae;Ceratina ;sp. (cucurbitina + dellatorreana);0.01;SB
Rosaceae;Potentilla;reptans;Cerambicidae;Chlorophorus;trifasciatus;0.02;SB
Rosaceae;Potentilla;reptans;Gasteruptiidae;Gasteruption;undulatum;0.02;SB
Rosaceae;Potentilla;reptans;Apidae;Hoplitis;leucomelans;0.07;SB
Rosaceae;Potentilla;reptans;Apidae;Hylaeus;pictus;0.51;SB
Rosaceae;Potentilla;reptans;Apidae;Lasioglossum;griseolum;0.03;SB
Rosaceae;Potentilla;reptans;Apidae;Lasioglossum;malachurum;0.01;SB
Rosaceae;Potentilla;reptans;Formicidae;Linepithema;humile;0.05;SB
Rosaceae;Potentilla;reptans;Nitidulidae;Meligethes;sp.;0.01;SB
Rosaceae;Potentilla;reptans;Mordellidae;Mordellistena;sp.;0.02;SB
Rosaceae;Potentilla;reptans;Stratiomyidae;Nemotelus;pantherinus;0.03;SB
Rosaceae;Potentilla;reptans;Oedemeridae;Oedemera;caudata;0.20;SB
Rosaceae;Potentilla;reptans;Oedemeridae;Oedemera;flavipes;0.05;SB
Rosaceae;Potentilla;reptans;Apidae;Osmia;caerulescens;0.03;SB
Rosaceae;Potentilla;reptans;Apidae;Osmia;versicolor;0.17;SB
