Plant Family;Plant genus;Plant specie;Pollinator Family;Pollinator genus;Pollinator specie;Interaction frequency;Site
Rosaceae;Potentilla;reptans;Syrphidae;Paragus;tibialis;0.05;SB
Rosaceae;Potentilla;reptans;Dasytidae;Psilotrix ;sp. (illustris + cyaneus + aureolus);0.02;SB
Rosaceae;Potentilla;reptans;Apidae;Rhodanthidium;septemdentatum;0.01;SB
Rosaceae;Potentilla;reptans;Chrysomelidae;Spermophagus;sp.;0.60;SB
Rosaceae;Potentilla;reptans;Syrphidae;Sphaerophoria ;sp. (scripta+rueppellii);0.65;SB
Rosaceae;Potentilla;reptans;Rhinophoridae;Stevenia;deceptoria;0.01;SB
Rosaceae;Potentilla;reptans;Syrphidae;Syritta;pipiens;0.01;SB
Rosaceae;Potentilla;reptans;Formicidae;Tapinoma;madeirense;0.08;SB
Rosaceae;Potentilla;reptans;Curculionidae;Tychius;aureolus;0.05;SB
Dipsacaceae;Scabiosa;maritima;-;Acari;sp.;0.17;SB
Dipsacaceae;Scabiosa;maritima;Buprestidae;Acmaoederella;discoida;0.01;SB
Dipsacaceae;Scabiosa;maritima;Apidae;Apis;mellifera;5.03;SB
Dipsacaceae;Scabiosa;maritima;Crabronidae;Bembix;occulata;0.04;SB
Dipsacaceae;Scabiosa;maritima;Bombyliidae;Bombylius;posticus;0.08;SB
Dipsacaceae;Scabiosa;maritima;Apidae;Bombus;terrestris;0.02;SB
Dipsacaceae;Scabiosa;maritima;Lycaenidae;Celastrina;argiolus;0.01;SB
Dipsacaceae;Scabiosa;maritima;Apidae;Ceratina ;sp. (cucurbitina + dellatorreana);0.46;SB
Dipsacaceae;Scabiosa;maritima;Pieridae;Colias;croceus;0.02;SB
Dipsacaceae;Scabiosa;maritima;Apidae;Halictus ;sp. (scabiosae + fulvipes);2.99;SB
Dipsacaceae;Scabiosa;maritima;Syrphidae;Helophilus;trivittatus;0.12;SB
Dipsacaceae;Scabiosa;maritima;Scoliidae;Megascolia;sp.;0.02;SB
Dipsacaceae;Scabiosa;maritima;Nitidulidae;Meligethes;sp.;0.43;SB
Dipsacaceae;Scabiosa;maritima;Mordellidae;Mordellistena;sp.;0.03;SB
Dipsacaceae;Scabiosa;maritima;Stratiomyidae;Nemotelus;pantherinus;0.01;SB
Dipsacaceae;Scabiosa;maritima;Oedemeridae;Oedemera;caudata;0.04;SB
Dipsacaceae;Scabiosa;maritima;Oedemeridae;Oedemera;flavipes;0.01;SB
Dipsacaceae;Scabiosa;maritima;Oedemeridae;Oedemera;simplex;0.01;SB
Dipsacaceae;Scabiosa;maritima;Cetoniidae;Oxythyrea;funesta;0.01;SB
Dipsacaceae;Scabiosa;maritima;Syrphidae;Paragus;tibialis;0.01;SB
Dipsacaceae;Scabiosa;maritima;Dasytidae;Psilotrix ;sp. (illustris + cyaneus + aureolus);0.03;SB
Dipsacaceae;Scabiosa;maritima;Apidae;Rhodanthidium;septemdentatum;0.02;SB
Dipsacaceae;Scabiosa;maritima;Syrphidae;Sphaerophoria ;sp. (scripta + rueppellii);0.02;SB
Dipsacaceae;Scabiosa;maritima;Nymphalidae;Vanessa;carduii;1.04;SB
Caryophyllaceae;Silene;vulgaris;Nitidulidae;Meligethes;sp.;0.14;SB
Caryophyllaceae;Silene;vulgaris;Dasytidae;Psilotrix ;sp. (illustris + cyaneus + aureolus);0.01;SB
Caryophyllaceae;Silene;vulgaris;Nymphalidae;Vanessa;carduii;0.03;SB
Labiatae;Teucrium;dunense;Apidae;Andrena ;sp1 (ovatula + fulvipes);1.14;SB
Labiatae;Teucrium;dunense;Apidae;Andrena;sp2;0.87;SB
Labiatae;Teucrium;dunense;Apidae;Andrena;sp3;0.54;SB
Labiatae;Teucrium;dunense;Apidae;Apis;mellifera;40.82;SB
Labiatae;Teucrium;dunense;Crabronidae;Bembix;occulata;3.15;SB
Labiatae;Teucrium;dunense;Apidae;Ceratina ;sp. (cucurbitina + dellatorreana);0.16;SB
Labiatae;Teucrium;dunense;Cerambicidae;Chlorophorus;trifasciatus;0.03;SB
Labiatae;Teucrium;dunense;Apidae;Colletes;dusmeti;0.16;SB
Labiatae;Teucrium;dunense;Formicidae;Crematogaster;laestrygon;0.01;SB
Labiatae;Teucrium;dunense;Syrphidae;Eristalinus;aeneus;0.33;SB
Labiatae;Teucrium;dunense;Syrphidae;Eristalinus;megacephalus;0.03;SB
Labiatae;Teucrium;dunense;Apidae;Halictus; sp. (scabiosae + fulvipes);0.57;SB
Labiatae;Teucrium;dunense;Apidae;Heriades;rubicolus;0.09;SB
Labiatae;Teucrium;dunense;Apidae;Lasioglossum;gemmeus;0.55;SB
Labiatae;Teucrium;dunense;Apidae;Lasioglossum;malachurum;0.16;SB
Labiatae;Teucrium;dunense;Formicidae;Linepithema;humile;0.71;SB
Labiatae;Teucrium;dunense;Scoliidae;Megascolia;hortorum;0.58;SB
Labiatae;Teucrium;dunense;Scoliidae;Megascolia;sp.;3.21;SB
Labiatae;Teucrium;dunense;Nitidulidae;Meligethes;sp.;0.10;SB
Labiatae;Teucrium;dunense;Crabronidae;Philanthus;triangulum;0.16;SB
Labiatae;Teucrium;dunense;Lycenidae;Polyommatus;icarus;0.20;SB
Labiatae;Teucrium;dunense;Vespidae;Polistes;sp. (dominulus + gallicus);0.30;SB
Labiatae;Teucrium;dunense;Sphecidae;Prionyx;kirbii;1.25;SB
Labiatae;Teucrium;dunense;Apidae;Rhodanthidium;septemdentatum;0.18;SB
Labiatae;Teucrium;dunense;Syrphidae;Sphaerophoria ;sp. (scripta + rueppellii);0.17;SB
Labiatae;Teucrium;dunense;Calliphoridae;Stomorhina;lunata;0.11;SB
Labiatae;Teucrium;dunense;Syrphidae;Syritta;pipiens;0.16;SB
Labiatae;Teucrium;dunense;Nymphalidae;Vanessa;carduii;1.25;SB
Scrophulariaceae;Verbascum;sinuatum;Apidae;Ceratina;sp. (cucurbitina + dellatorreana);0.03;SB
Scrophulariaceae;Verbascum;sinuatum;Apidae;Ceylalictus;variegatus;0.05;SB
Scrophulariaceae;Verbascum;sinuatum;Syrphidae;Eristalinus;aeneus;0.02;SB
Scrophulariaceae;Verbascum;sinuatum;Apidae;Hylaeus;pictus;0.02;SB
Scrophulariaceae;Verbascum;sinuatum;Formicidae;Linepithema;humile;0.50;SB
