Species;Abd. on conventional farms;Abd. on organic farms;Abd. at natural sites;Inter-tegular distance (mm);Median day of year of flight season;Flight-season duration;Nest location;Nesting behaviour;Sociality/ parasitic;Lecty
Hoplitis fulgida;;1;;1.51;100.5;NA;above;rent;solitary;poly
Hoplitis grinnelli;;;1;1.28;116;NA;above;rent;solitary;poly
Hoplitis howardi;;;2;1.15;151;NA;above;rent;solitary;oligo
Hoplitis hypocrita;2;2;;2.59;130;NA;above;rent;solitary;poly
Hoplitis producta;;;12;1.27;126.5;NA;above;rent;solitary;poly
Hoplitis sambuci;;;1;2.23;137.5;NA;above;rent;solitary;poly
Hylaeus calvus;;;6;1.16;130;NA;above;rent;solitary;poly
Hylaeus rudbeckiae;3;35;12;0.97;136;NA;above;rent;solitary;poly
Hylaeus verticalis;;1;3;1.44;120;NA;above;rent;solitary;poly
Lasioglossum (Dialictus) incompletum;234;185;139;0.94;171;100.1;below;excavate;social;poly
Lasioglossum (Lasioglossum) mellipes;;9;1;2.08;128;NA;below;excavate;solitary;poly
Lasioglossum (Lasioglossum) titusi;1;4;1;1.93;135.5;195.2;below;excavate;solitary;poly
Megachile angelarum;;1;22;2.17;161;NA;above;rent;solitary;poly
Megachile apicalis;9;4;49;2.31;189;63.3;above;rent;solitary;oligo
Megachile coquilletti;1;;10;3.36;218;102.6;above;rent;solitary;poly
Megachile frugalis;;;2;2.65;173;NA;above;rent;solitary;poly
Megachile gentilis;;1;4;2.63;243.5;109.8;above;rent;solitary;poly
Megachile montivaga;;1;;2.68;189;NA;mix;rent;solitary;poly
Megachile onobrychidis;;1;;2.58;225;100.7;mix;rent;solitary;poly
Megachile parallela;;1;1;3.27;218;NA;below;rent;solitary;poly
Megachile rotundata;;1;1;2.20;176.5;170.2;mix;rent;solitary;oligo
Melecta edwardsii;;;1;3.56;98;NA;below;NA;parasite;NA
Melissodes lupina;6;1;13;2.20;216;85.9;below;excavate;solitary;oligo
Melissodes robustior;;2;6;2.88;221;45.7;below;excavate;solitary;oligo
Melissodes stearnsi;4;;69;2.04;216;66.6;below;excavate;solitary;oligo
Melissodes tepida;1;27;;2.21;200;84.0;below;excavate;solitary;poly
Osmia aglaia;;;2;2.20;139;NA;above;rent;solitary;poly
Osmia atrocyanea;;;6;2.82;131;NA;above;rent;solitary;poly
Osmia bridwelli;;;4;3.22;136.5;NA;UK;rent;solitary;UK
Osmia cara;;;1;3.07;133;NA;UK;rent;solitary;UK
Osmia coloradensis;;1;5;2.31;136;NA;above;rent;solitary;oligo
Osmia cyanella;;;7;2.45;129;NA;above;rent;solitary;UK
Osmia glauca;;;2;1.61;119;NA;above;rent;solitary;oligo
Osmia granulosa;;1;9;2.06;142;43.8;UK;rent;solitary;UK
Osmia laeta;;2;3;1.95;136;NA;above;rent;solitary;poly
Osmia montana;;;2;2.49;137;NA;above;rent;solitary;oligo
Osmia nemoris;4;6;39;2.21;128.5;55.5;mix;rent;solitary;poly
Osmia nigrifrons;;;1;2.49;UK;NA;above;rent;solitary;oligo
Osmia regulina;;1;12;1.98;143;NA;above;rent;solitary;poly
Panurginus nigrellus;;34;11;1.32;95;NA;below;excavate;solitary;poly
Peponapis pruinosa;;14;;3.13;184;NA;below;excavate;solitary;oligo
Perdita heliotropii;;;3;0.87;206.5;NA;below;excavate;solitary;oligo
Protosmia rubifloris;;1;15;1.47;113;58.6;above;rent;solitary;poly
Stelis montana;;;1;2.29;134.5;NA;above;NA;parasite;NA
Triepeolus timberlakeii;;;1;1.71;148;NA;below;NA;parasite;NA
Xeromelecta californica;;1;;2.15;182.5;150.6;below;NA;parasite;NA
Xylocopa tabaniformis;;1;;5.84;128.5;99.0;above;excavate;solitary;poly
