Species,Red.List,Abundance,Population.trend,Pollen.specialisation,Nest.location,Sociality,Mean.flight.month,Duration.of.activity,Size.mean,Altitude.mean,Forest,Raw.soil,Urban.areas,Meadows,Hedgerows,Wasteland,Habitat.breadth
"Osmia versicolor LATREILLE, 1811",5,6,4,polylectic,above,solitary,5.5,4,6.5,800,0,1,0,0,0,1,2
"Osmia viridana MORAWITZ, 1874",4,6,3,polylectic,above,solitary,5.5,4,6.5,800,0,1,0,0,0,1,2
"Panurginus herzi MORAWITZ, 1892",unknown,6,2,polylectic,ground,solitary,7,3,6.5,1450,0,0,0,1,0,0,1
"Panurginus montanus GIRAUD, 1861",1,4,2,oligolectic,ground,solitary,7,3,6.5,1900,0,0,0,1,0,0,1
"Sphecodes crassus THOMSON, 1870",1,1,2,cuckoo,host nest,cuckoo,7,7,6.5,1050,1,1,1,1,1,1,6
"Sphecodes croaticus MEYER, 1922",4,4,insufficient data,cuckoo,host nest,cuckoo,7.5,6,6.5,800,0,1,0,0,0,1,2
"Stelis odontopyga NOSKIEWICZ, 1926",3,4,3,cuckoo,host nest,cuckoo,7,3,6.5,1050,0,1,0,1,1,0,3
"Stelis ornatula (KLUG, 1807)",1,3,2,cuckoo,host nest,cuckoo,6,5,6.5,1050,0,1,0,0,1,1,3
"Stelis signata (LATREILLE, 1809)",3,4,3,cuckoo,host nest,cuckoo,6.5,4,6.5,800,0,1,1,0,1,1,4
"Andrena subopaca NYLANDER, 1848",1,2,2,polylectic,ground,solitary,5.5,6,7,1050,1,1,1,1,1,1,6
"Andrena viridescens VIERECK, 1916",2,3,3,oligolectic,ground,solitary,5,3,7,800,0,1,1,1,1,1,5
"Anthidium nanum MOCSÁRY, 1879",3,4,3,oligolectic,above,solitary,7.5,4,7,800,0,0,0,0,1,1,2
"Ceratina cucurbitina (ROSSI, 1792)",1,3,2,polylectic,above,solitary,7,5,7,800,0,1,1,0,1,1,4
"Coelioxys echinata FÖRSTER, 1853",1,4,1,cuckoo,host nest,cuckoo,7.5,2,7,800,0,1,0,0,1,1,3
"Epeolus cruciger (PANZER, 1799)",3,3,4,cuckoo,host nest,cuckoo,7.5,2,7,400,0,1,0,0,1,1,3
"Halictus confusus SMITH, 1853",1,3,2,polylectic,ground,solitary,5.5,7,7,1050,0,1,0,0,0,1,2
"Halictus tumulorum (LINNAEUS, 1758)",1,1,2,polylectic,ground,social,6.5,6,7,1050,1,1,1,1,1,1,6
"Hylaeus annulatus (LINNAEUS, 1758)",unknown,6,2,polylectic,above,solitary,7.5,4,7,1050,1,0,1,1,1,1,5
"Hylaeus confusus NYLANDER, 1852",1,2,2,polylectic,above,solitary,6.5,6,7,1050,1,1,1,0,1,0,4
"Hylaeus cornutus CURTIS, 1831",1,3,insufficient data,polylectic,above,solitary,7,3,7,800,0,1,0,1,1,1,4
"Hylaeus duckei (ALFKEN, 1904)",3,4,3,polylectic,above,solitary,6.5,4,7,800,0,1,0,0,0,1,2
"Hylaeus gibbus SAUNDERS, 1850",1,2,2,polylectic,above,solitary,7,5,7,1050,0,1,0,0,1,1,3
"Hylaeus pectoralis FÖRSTER, 1871",3,3,4,polylectic,above,solitary,7,5,7,400,1,0,0,1,1,0,2
"Hylaeus variegatus (FABRICIUS, 1798)",2,3,3,polylectic,ground,solitary,7.5,4,7,800,0,1,0,0,0,1,2
"Lasioglossum fratellum (PÉREZ, 1903)",1,3,2,polylectic,ground,solitary,7,7,7,1500,1,1,0,0,1,0,3
"Lasioglossum lativentre (SCHENCK, 1853)",2,3,3,polylectic,ground,solitary,7,7,7,800,0,0,0,1,1,1,3
"Lasioglossum lineare (SCHENCK, 1868)",3,3,4,polylectic,ground,social,6,7,7,800,0,1,0,0,0,1,2
"Lasioglossum quadrinotatum (KIRBY, 1802)",3,4,3,polylectic,ground,solitary,7,7,7,400,0,0,0,1,0,1,2
"Nomada facilis SCHWARZ, 1967",3,5,insufficient data,cuckoo,host nest,cuckoo,6.5,4,7,800,0,1,0,1,1,0,3
"Nomada integra BRULLÉ, 1832",3,4,insufficient data,cuckoo,host nest,cuckoo,6,5,7,800,0,1,0,1,1,0,3
"Ammobates punctatus (FABRICIUS, 1804)",4,5,3,cuckoo,host nest,cuckoo,7,3,7.5,800,0,1,0,0,0,0,1
"Andrena nanaeformis NOSKIEWICZ, 1925",6,7,6,polylectic,ground,solitary,5.5,4,7.5,400,0,1,0,0,0,0,1
"Biastes brevicornis (PANZER, 1798)",5,6,3,cuckoo,host nest,cuckoo,7,3,7.5,400,0,0,0,0,0,1,1
"Dufourea dentiventris (NYLANDER, 1848)",3,3,4,oligolectic,ground,solitary,7.5,2,7.5,1050,0,0,0,0,1,1,2
"Dufourea inermis (NYLANDER, 1848)",4,4,4,oligolectic,ground,solitary,7.5,2,7.5,1500,0,0,0,0,1,1,2
"Epeolus variegatus (LINNAEUS, 1758)",2,3,3,cuckoo,host nest,cuckoo,7,3,7.5,800,0,1,0,0,0,1,2
"Halictus leucaheneus EBMER, 1972",3,3,4,polylectic,ground,social,6.5,6,7.5,800,1,1,0,0,0,1,3
"Halictus subauratus (ROSSI, 1792)",1,3,2,polylectic,ground,social,5.5,6,7.5,800,0,1,0,0,0,1,2
"Hylaeus difformis (EVERSMANN, 1852)",1,4,2,polylectic,above,solitary,7,3,7.5,800,1,0,0,1,1,0,3
"Hylaeus punctulatissimus SMITH, 1842",3,3,insufficient data,oligolectic,above,solitary,6.5,4,7.5,800,0,1,1,0,0,1,3
"Lasioglossum quadrinotatulum (SCHENCK, 1861)",3,4,3,polylectic,ground,solitary,7,7,7.5,400,0,1,0,1,0,1,3
"Nomada baccata SMITH, 1844",4,4,4,cuckoo,host nest,cuckoo,8,3,7.5,400,0,1,0,0,0,0,1
"Nomada guttulata SCHENCK, 1861",1,4,2,cuckoo,host nest,cuckoo,5.5,4,7.5,800,0,0,1,1,1,1,4
"Osmia gallarum SPINOLA, 1808",2,4,3,oligolectic,above,solitary,6,5,7.5,800,0,0,0,0,1,1,2
"Osmia spinulosa (KIRBY, 1802)",3,3,4,oligolectic,above,solitary,7,5,7.5,1050,0,1,0,1,1,0,3
"Osmia submicans MORAWITZ, 1870",4,5,3,polylectic,above,solitary,5.5,2,7.5,800,0,1,0,0,1,1,3
"Rhophitoides canus (EVERSMANN, 1852)",2,4,3,oligolectic,ground,solitary,7,3,7.5,400,0,0,0,0,0,1,1
"Sphecodes ephippius (LINNAEUS, 1767)",1,1,2,cuckoo,host nest,cuckoo,6.5,8,7.5,1050,1,1,1,1,1,1,6
"Sphecodes ferruginatus VON HAGENS, 1882",1,3,2,cuckoo,host nest,cuckoo,7,7,7.5,1500,1,1,1,1,1,1,6
"Sphecodes rufiventris (PANZER, 1798)",1,3,2,cuckoo,host nest,cuckoo,6.5,6,7.5,800,0,1,0,0,1,1,3
"Andrena labiata FABRICIUS, 1781",1,2,2,polylectic,ground,solitary,5.5,4,8,1050,0,0,1,1,1,1,4
"Andrena nitidiuscula SCHENCK, 1853",3,3,4,oligolectic,ground,solitary,7,3,8,800,0,1,1,1,1,1,5
"Coelioxys afra LEPELETIER, 1841",3,4,3,cuckoo,host nest,cuckoo,7,3,8,800,0,1,0,0,0,1,2
"Coelioxys brevis EVERSMANN, 1852",4,5,3,cuckoo,host nest,cuckoo,7,3,8,400,0,1,0,0,0,0,1
"Colletes mlokossewiczi RADOSZKOWSKI, 1891",unknown,6,insufficient data,oligolectic,ground,solitary,7,3,8,400,0,1,0,0,0,1,2
"Hylaeus nigritus (FABRICIUS, 1798)",1,1,2,oligolectic,above,solitary,7,5,8,1050,0,1,1,1,0,1,4
"Hylaeus signatus (PANZER, 1798)",1,1,2,oligolectic,above,solitary,6.5,6,8,800,0,1,1,0,1,1,4
"Lasioglossum albipes (FABRICIUS, 1781)",1,1,2,polylectic,ground,social,7,7,8,1500,1,0,1,0,1,1,4
"Lasioglossum laeve (KIRBY, 1802)",5,6,4,polylectic,ground,solitary,6.5,6,8,800,0,0,0,0,1,1,2
"Lasioglossum marginatum (BRULLÉ, 1832)",unknown,6,2,polylectic,ground,social,6.5,8,8,800,0,0,0,1,0,1,2
"Lasioglossum prasinum (SMITH, 1848)",4,4,4,polylectic,ground,solitary,7,7,8,400,0,1,0,0,0,0,1
"Nomada alboguttata HERRICH-SCHÄFFER, 1839",1,3,2,cuckoo,host nest,cuckoo,4.5,2,8,400,0,1,0,0,0,0,1
"Nomada argentata HERRICH-SCHÄFFER, 1839",4,4,4,cuckoo,host nest,cuckoo,8,3,8,800,0,1,0,0,0,1,2
"Nomada obscura ZETTERSTEDT, 1838",1,4,2,cuckoo,host nest,cuckoo,4.5,4,8,1050,1,1,0,0,1,0,3
"Nomada opaca ALFKEN, 1913",4,5,3,cuckoo,host nest,cuckoo,5.5,2,8,400,1,0,0,0,1,0,2
"Nomada piccioliana MAGRETTI, 1883",3,4,3,cuckoo,host nest,cuckoo,6,3,8,800,0,0,0,1,0,1,2
"Nomada rhenana MORAWITZ, 1872",3,4,insufficient data,cuckoo,host nest,cuckoo,6,5,8,400,0,1,1,1,1,1,5
"Nomada roberjeotiana PANZER, 1799",3,4,insufficient data,cuckoo,host nest,cuckoo,8,3,8,800,0,1,0,0,0,0,1
"Nomada rufipes FABRICIUS, 1793",2,3,3,cuckoo,host nest,cuckoo,8,3,8,1050,0,1,0,0,1,0,2
"Nomada zonata PANZER, 1798",2,4,2,cuckoo,host nest,cuckoo,6,5,8,400,0,1,0,0,1,1,3
"Osmia leucomelana (KIRBY, 1802)",1,2,2,polylectic,above,solitary,7,3,8,1050,0,1,0,0,1,1,3
"Panurgus calcaratus (SCOPOLI, 1763)",1,3,2,oligolectic,ground,solitary,7.5,4,8,1050,0,1,0,0,1,1,3
"Panurgus dentipes LATREILLE, 1811",3,4,3,oligolectic,ground,solitary,7.5,4,8,800,0,0,0,0,0,1,1
"Sphecodes cristatus VON HAGENS, 1882",3,4,insufficient data,cuckoo,host nest,cuckoo,6.5,2,8,800,0,1,0,0,0,1,2
"Stelis phaeoptera (KIRBY, 1802)",3,4,3,cuckoo,host nest,cuckoo,6.5,6,8,1050,0,0,0,1,1,1,3
"Andrena coitana (KIRBY, 1802)",3,4,3,polylectic,ground,solitary,7.5,4,8.5,1050,1,0,0,0,1,0,2
"Andrena pallitarsis PÉREZ, 1903",5,6,4,oligolectic,ground,solitary,7.5,2,8.5,400,0,0,0,0,0,1,1
"Andrena ventralis IMHOFF, 1832",1,3,2,oligolectic,ground,solitary,4,3,8.5,800,0,1,0,0,0,0,1
"Anthidium punctatum LATREILLE, 1809",2,3,3,polylectic,above,solitary,7,5,8.5,1050,0,0,1,0,1,1,3
"Anthophora bimaculata (PANZER, 1798)",3,4,3,polylectic,ground,solitary,7,5,8.5,800,0,1,0,0,0,0,1
"Anthophora pubescens (FABRICIUS, 1781)",5,6,4,polylectic,ground,solitary,7,3,8.5,800,0,0,1,1,0,0,2
"Eucera alticincta (LEPELETIER, 1841)",6,7,6,oligolectic,ground,solitary,8,3,8.5,400,0,1,0,0,1,0,2
"Lasioglossum calceatum (SCOPOLI, 1763)",1,1,2,polylectic,ground,social,6.5,8,8.5,1050,1,1,1,1,1,1,6
"Lasioglossum laevigatum (KIRBY, 1802)",3,3,4,polylectic,ground,solitary,6.5,8,8.5,1050,0,1,0,1,1,1,4
"Lasioglossum malachurum (KIRBY, 1802)",1,2,2,polylectic,ground,social,7,7,8.5,800,1,1,1,1,1,1,6
"Megachile apicalis SPINOLA, 1808",4,5,3,polylectic,ground and above,solitary,7,3,8.5,800,0,0,0,1,1,0,2
"Megachile rotundata (FABRICIUS, 1787)",1,3,2,polylectic,ground and above,solitary,7.5,4,8.5,800,0,1,0,0,1,1,3
"Nomada conjungens HERRICH-SCHÄFFER, 1839",1,3,2,cuckoo,host nest,cuckoo,5.5,4,8.5,800,0,0,1,1,1,1,4
"Nomada similis MORAWITZ, 1872",3,4,insufficient data,cuckoo,host nest,cuckoo,7.5,4,8.5,1050,1,1,0,0,1,1,4
"Osmia parietina CURTIS, 1828",3,4,3,polylectic,above,solitary,6,5,8.5,1050,1,0,0,0,1,0,2
"Osmia rufohirta LATREILLE, 1811",3,3,4,polylectic,above,solitary,6,5,8.5,800,0,1,0,0,0,1,2
"Pseudapis femoralis (PALLAS, 1773)",6,7,6,polylectic,ground,solitary,6.5,2,8.5,400,0,1,0,0,0,1,2
"Sphecodes majalis PÉREZ, 1903",1,5,2,cuckoo,host nest,cuckoo,4.5,2,8.5,400,0,0,0,1,1,1,3
"Sphecodes monilicornis (KIRBY, 1802)",1,1,2,cuckoo,host nest,cuckoo,6.5,8,8.5,800,1,1,1,1,1,1,6
"Sphecodes reticulatus THOMSON, 1870",1,3,2,cuckoo,host nest,cuckoo,7,7,8.5,800,0,1,0,0,1,1,3
"Stelis nasuta (LATREILLE, 1809)",6,7,6,cuckoo,host nest,cuckoo,6.5,4,8.5,800,0,1,0,0,0,1,2
"Systropha curvicornis (SCOPOLI, 1770)",3,4,3,oligolectic,ground,solitary,7,3,8.5,400,0,0,0,0,0,1,1
"Andrena argentata SMITH, 1844",3,3,4,polylectic,ground,solitary,6.5,5,9,400,0,1,0,0,0,0,1
"Andrena paucisquama NOSKIEWICZ, 1924",5,6,insufficient data,oligolectic,ground,solitary,5.5,2,9,400,0,0,0,1,1,1,3
"Anthidium oblongatum (ILLIGER, 1806)",2,3,3,polylectic,above,solitary,7,3,9,800,0,0,1,0,1,1,3
"Ceratina chalybea CHEVRIER, 1872",3,4,3,polylectic,above,solitary,6.5,6,9,400,0,0,0,0,0,1,1
"Osmia rapunculi (LEPELETIER, 1841)",1,2,2,oligolectic,above,solitary,6.5,4,9,1050,0,0,1,1,1,1,4
"Colletes daviesanus SMITH, 1846",1,2,2,oligolectic,ground,solitary,7.5,4,9,1050,0,1,1,0,0,1,3
"Colletes marginatus SMITH, 1846",3,4,3,polylectic,ground,solitary,8,3,9,800,0,1,0,0,0,1,2
"Epeoloides coecutiens (FABRICIUS, 1775)",1,4,2,cuckoo,host nest,cuckoo,7.5,2,9,800,1,0,0,0,1,0,2
"Eucera salicariae (LEPELETIER, 1841)",3,4,3,polylectic,ground,solitary,7,3,9,400,0,1,0,0,1,0,2
"Halictus maculatus SMITH, 1848",1,2,2,polylectic,ground,social,6.5,6,9,800,0,1,0,0,1,1,3
"Lasioglossum leucozonium (SCHRANK, 1781)",1,1,2,polylectic,ground,solitary,7,7,9,1050,1,1,1,1,1,1,6
"Lasioglossum sexmaculatum (SCHENCK, 1853)",3,5,insufficient data,polylectic,ground,solitary,5.5,6,9,400,0,1,0,0,0,0,1
"Nomada fabriciana (LINNAEUS, 1767)",1,1,2,cuckoo,host nest,cuckoo,5.5,6,9,1050,1,1,1,1,1,1,6
"Nomada femoralis MORAWITZ, 1869",4,5,3,cuckoo,host nest,cuckoo,5.5,4,9,800,0,1,0,1,1,1,4
"Nomada ferruginata (LINNAEUS, 1767)",1,3,2,cuckoo,host nest,cuckoo,4,3,9,800,0,1,0,0,1,0,2
"Nomada fucata PANZER, 1798",1,2,2,cuckoo,host nest,cuckoo,5.5,6,9,800,1,1,1,1,1,1,6
"Osmia caerulescens (LINNAEUS, 1758)",1,2,2,polylectic,above,solitary,6.5,8,9,800,0,1,1,0,1,1,4
"Osmia claviventris THOMSON, 1872",1,2,2,polylectic,above,solitary,7,3,9,1050,0,1,0,0,1,1,3
"Osmia ravouxi PÉREZ, 1902",4,4,4,polylectic,above,solitary,6,5,9,800,0,1,0,0,0,1,2
"Sphecodes pellucidus SMITH, 1845",2,3,3,cuckoo,host nest,cuckoo,6.5,6,9,1050,0,1,0,0,1,1,3
"Sphecodes scabricollis WESMAEL, 1835",3,4,insufficient data,cuckoo,host nest,cuckoo,7,5,9,800,1,1,1,1,1,1,6
"Thyreus orbatus (LEPELETIER, 1841)",4,5,3,cuckoo,host nest,cuckoo,7,5,9,1050,0,1,0,1,0,0,2
