Species,Red.List,Abundance,Population.trend,Pollen.specialisation,Nest.location,Sociality,Mean.flight.month,Duration.of.activity,Size.mean,Altitude.mean,Forest,Raw.soil,Urban.areas,Meadows,Hedgerows,Wasteland,Habitat.breadth
"Dufourea halictula (NYLANDER, 1852)",4,4,4,oligolectic,ground,solitary,7.5,2,4.5,400,0,1,0,0,0,1,2
"Hylaeus clypearis (SCHENCK, 1853)",1,3,2,polylectic,above,solitary,7.5,4,4.5,800,0,0,0,0,1,1,2
"Hylaeus pictipes NYLANDER, 1852",1,3,2,polylectic,above,solitary,7,3,4.5,800,0,1,0,0,1,1,3
"Hylaeus styriacus FÖRSTER, 1871",1,3,2,polylectic,above,solitary,7,3,4.5,800,1,0,0,0,1,1,3
"Lasioglossum glabriusculum (MORAWITZ, 1872)",1,3,2,polylectic,ground,social,7,7,4.5,800,0,1,0,0,0,1,2
"Lasioglossum lucidulum (SCHENCK, 1861)",1,2,2,polylectic,ground,solitary,7,7,4.5,400,0,1,0,1,1,1,4
"Lasioglossum minutissimum (KIRBY, 1802)",1,4,2,polylectic,ground,solitary,6.5,6,4.5,800,0,1,0,1,0,1,3
"Lasioglossum politum (SCHENCK, 1853)",1,3,2,polylectic,ground,social,6.5,8,4.5,400,0,1,1,1,0,1,4
"Nomada bluethgeni STÖCKHERT, 1943",6,7,6,cuckoo,host nest,cuckoo,6,5,4.5,400,0,1,0,1,0,0,2
"Nomioides minutissimus (ROSSI, 1790)",4,6,4,polylectic,ground,solitary,7,3,4.5,400,0,1,0,0,0,0,1
"Stelis minima SCHENCK, 1861",1,4,2,cuckoo,host nest,cuckoo,7,3,4.5,800,0,0,1,1,1,1,4
"Hylaeus brevicornis NYLANDER, 1852",1,2,2,polylectic,above,solitary,7.5,4,5,800,0,0,1,1,1,1,4
"Hylaeus gracilicornis (MORAWITZ, 1867)",1,4,insufficient data,polylectic,above,solitary,7,3,5,400,1,1,0,0,1,0,3
"Hylaeus moricei (FRIESE, 1898)",3,4,3,polylectic,above,solitary,7,3,5,400,1,0,0,0,1,1,3
"Lasioglossum aeratum (KIRBY, 1802)",3,4,3,polylectic,ground,social,6.5,6,5,1050,0,1,0,0,0,1,2
"Lasioglossum marginellum (SCHENCK, 1853)",4,5,3,polylectic,ground,solitary,6.5,4,5,400,0,1,0,0,0,0,1
"Sphecodes longulus VON HAGENS, 1882",1,3,2,cuckoo,host nest,cuckoo,6,7,5.25,800,1,1,1,1,1,1,6
"Halictus smaragdulus VACHAL, 1895",3,4,3,polylectic,ground,social,6,5,5.5,800,0,1,0,0,0,1,2
"Hylaeus gredleri FÖRSTER, 1871",1,2,2,polylectic,above,solitary,7,3,5.5,800,1,0,1,0,1,1,4
"Hylaeus kahri FÖRSTER, 1871",1,4,insufficient data,polylectic,above,solitary,7.5,4,5.5,800,0,0,0,0,0,1,1
"Hylaeus leptocephalus (MORAWITZ, 1870)",1,3,2,polylectic,above,solitary,7,5,5.5,800,0,0,1,0,1,1,3
"Hylaeus lineolatus (SCHENCK, 1861)",3,4,3,polylectic,above,solitary,7.5,4,5.5,400,0,1,0,0,1,0,2
"Hylaeus punctatus (BRULLÉ, 1832)",1,3,2,polylectic,above,solitary,6.5,4,5.5,400,0,0,1,0,1,1,3
"Hylaeus sinuatus (SCHENCK, 1853)",1,3,2,polylectic,above,solitary,7,3,5.5,800,1,0,0,0,1,1,3
"Lasioglossum cupromicans (PÉREZ, 1903)",3,5,insufficient data,polylectic,ground,solitary,6.5,6,5.5,1900,0,1,0,0,0,0,1
"Lasioglossum morio (FABRICIUS, 1793)",1,1,2,polylectic,ground,social,6.5,8,5.5,1050,1,1,1,1,1,1,6
"Lasioglossum pauxillum (SCHENCK, 1853)",1,1,2,polylectic,ground,social,6.5,8,5.5,800,1,1,1,1,1,1,6
"Lasioglossum semilucens (ALFKEN, 1914)",1,3,2,polylectic,ground,solitary,5,6,5.5,400,0,1,0,0,1,1,3
"Lasioglossum tarsatum (SCHENCK, 1868)",4,4,4,polylectic,ground,solitary,6,5,5.5,400,0,1,0,0,0,0,1
"Nomada distinguenda MORAWITZ, 1874",3,4,insufficient data,cuckoo,host nest,cuckoo,7,7,5.5,800,1,1,1,1,1,1,6
"Nomada kohli SCHMIEDEKNECHT, 1882",4,4,4,cuckoo,host nest,cuckoo,6.5,4,5.5,400,0,1,0,1,1,1,4
"Sphecodes geoffrellus (KIRBY, 1802)",1,2,2,cuckoo,host nest,cuckoo,7,7,5.5,1500,1,1,1,1,1,1,6
"Sphecodes hyalinatus VON HAGENS, 1882",1,1,2,cuckoo,host nest,cuckoo,7,7,5.5,1050,1,1,1,1,1,1,6
"Sphecodes marginatus VON HAGENS, 1882",1,3,insufficient data,cuckoo,host nest,cuckoo,6.5,4,5.5,800,0,1,0,0,0,0,1
"Sphecodes miniatus VON HAGENS, 1882",1,3,insufficient data,cuckoo,host nest,cuckoo,6.5,6,5.5,1500,1,1,1,1,1,1,6
"Sphecodes niger VON HAGENS, 1874",1,3,2,cuckoo,host nest,cuckoo,7,7,5.5,1050,1,1,1,1,1,1,6
"Stelis breviuscula (NYLANDER, 1848)",1,2,2,cuckoo,host nest,cuckoo,7,5,5.5,800,0,0,0,1,1,0,2
"Stelis minuta LEPELETIER & SERVILLE, 1825",1,4,insufficient data,cuckoo,host nest,cuckoo,7.5,4,5.5,800,0,1,0,0,1,1,3
"Andrena minutula (KIRBY, 1802)",1,1,2,polylectic,ground,solitary,5.5,6,6,1050,1,1,1,1,1,1,6
"Dufourea alpina MORAWITZ, 1865",unknown,6,2,polylectic,ground,solitary,7,3,6,1900,0,1,0,0,0,0,1
"Dufourea minuta LEPELETIER, 1841",3,4,3,oligolectic,ground,solitary,7.5,4,6,1450,1,0,0,0,0,0,1
"Lasioglossum intermedium (SCHENCK, 1868)",3,4,3,polylectic,ground,solitary,6,5,6,1800,0,1,0,0,0,0,1
"Lasioglossum lissonotum (NOSKIEWICZ, 1926)",4,5,3,polylectic,ground,social,6,5,6,800,0,1,0,0,0,1,2
"Lasioglossum nitidiusculum (KIRBY, 1802)",2,3,3,polylectic,ground,solitary,6.5,6,6,400,0,1,0,0,1,1,3
"Lasioglossum nitidulum (FABRICIUS, 1804)",1,2,2,polylectic,ground,social,6.5,8,6,800,0,1,1,0,0,0,2
"Lasioglossum parvulum (SCHENCK, 1853)",2,4,3,polylectic,ground,solitary,7,7,6,800,1,1,1,1,1,1,6
"Lasioglossum pygmaeum (SCHENCK, 1853)",3,4,insufficient data,polylectic,ground,solitary,6.5,6,6,400,0,1,0,0,0,1,2
"Nomada atroscutellaris STRAND, 1921",2,3,3,cuckoo,host nest,cuckoo,5,3,6,800,0,1,1,1,1,1,5
"Nomada discedens PÉREZ, 1884",5,6,insufficient data,cuckoo,host nest,cuckoo,6,1,6,400,0,1,0,0,0,0,1
"Nomada flavoguttata (KIRBY, 1802)",1,1,2,cuckoo,host nest,cuckoo,5.5,6,6,1050,1,1,1,1,1,1,6
"Nomada fuscicornis NYLANDER, 1848",1,3,2,cuckoo,host nest,cuckoo,7.5,4,6,800,0,1,0,0,1,1,3
"Nomada obtusifrons NYLANDER, 1848",4,4,4,cuckoo,host nest,cuckoo,7.5,2,6,1050,1,1,0,0,1,0,3
"Nomada sheppardana (KIRBY, 1802)",1,1,2,cuckoo,host nest,cuckoo,5.5,6,6,800,1,1,0,0,1,1,4
"Sphecodes puncticeps THOMSON, 1870",1,3,2,cuckoo,host nest,cuckoo,6.5,6,6,800,0,1,0,0,0,1,2
"Andrena alfkenella PERKINS, 1914",2,4,3,polylectic,ground,solitary,6.5,4,6.5,800,0,0,0,1,1,1,3
"Andrena falsifica PERKINS, 1915",1,3,2,polylectic,ground,solitary,4,3,6.5,800,1,0,0,1,1,1,4
"Andrena minutuloides PERKINS, 1914",1,1,2,polylectic,ground,solitary,6.5,6,6.5,800,1,1,1,1,1,1,6
"Andrena potentillae PANZER, 1809",4,5,3,oligolectic,ground,solitary,4,3,6.5,400,0,1,0,0,0,1,2
"Andrena semilaevis PÉREZ, 1903",3,4,3,polylectic,ground,solitary,6,3,6.5,1050,0,1,0,1,1,1,4
"Anthidium strigatum (PANZER, 1805)",2,3,4,polylectic,above,solitary,7,3,6.5,800,0,1,1,0,1,1,4
"Camptopoeum frontale (FABRICIUS, 1804)",4,6,3,oligolectic,ground,solitary,7.5,2,6.5,400,0,1,0,0,0,0,1
"Ceratina cyanea (KIRBY, 1802)",1,2,2,polylectic,above,solitary,7,7,6.5,800,0,0,1,1,1,1,4
"Epeolus alpinus FRIESE, 1893",unknown,6,2,cuckoo,host nest,cuckoo,6.5,2,6.5,1500,0,1,0,0,0,0,1
"Hylaeus cardioscapus COCKERELL, 1924",unknown,6,insufficient data,polylectic,above,solitary,7,3,6.5,400,0,0,0,0,1,0,1
"Hylaeus communis NYLANDER, 1852",1,1,2,polylectic,above,solitary,7.5,6,6.5,1050,0,1,1,0,1,0,3
"Hylaeus dilatatus (KIRBY, 1802)",1,3,2,polylectic,above,solitary,7.5,4,6.5,800,0,1,0,0,1,1,3
"Hylaeus hyalinatus SMITH, 1842",1,1,2,polylectic,above,solitary,7,5,6.5,800,0,1,1,1,1,1,5
"Hylaeus rinki (GORSKI, 1852)",1,4,2,polylectic,above,solitary,7,3,6.5,800,1,0,0,0,1,0,2
"Lasioglossum brevicorne (SCHENCK, 1868)",3,4,3,oligolectic,ground,social,7,7,6.5,800,0,1,0,0,1,0,2
"Lasioglossum convexiusculum (SCHENCK, 1853)",4,5,3,polylectic,ground,solitary,6.5,4,6.5,800,0,0,0,0,0,1,1
"Lasioglossum fulvicorne (KIRBY, 1802)",1,1,2,polylectic,ground,solitary,6.5,8,6.5,1050,1,1,1,1,1,1,6
"Lasioglossum interruptum (PANZER, 1798)",3,3,4,polylectic,ground,social,7,7,6.5,800,0,0,0,1,0,1,2
"Lasioglossum laticeps (SCHENCK, 1868)",1,2,2,polylectic,ground,social,6.5,8,6.5,800,0,1,0,1,1,1,4
"Lasioglossum minutulum (SCHENCK, 1853)",3,4,3,polylectic,ground,solitary,6.5,6,6.5,800,0,0,0,1,0,1,2
"Lasioglossum punctatissimum (SCHENCK, 1853)",1,3,2,polylectic,ground,solitary,7,7,6.5,400,0,1,0,0,1,1,3
"Lasioglossum puncticolle (MORAWITZ, 1872)",3,4,3,polylectic,ground,social,7,7,6.5,400,0,1,0,1,1,1,4
"Lasioglossum quadrisignatum (SCHENCK, 1853)",4,5,3,polylectic,ground,solitary,6.5,6,6.5,800,0,0,0,0,1,1,2
"Lasioglossum rufitarse (ZETTERSTEDT, 1838)",1,3,2,polylectic,ground,solitary,7,7,6.5,1050,1,1,0,0,1,0,3
"Lasioglossum sexstrigatum (SCHENCK, 1868)",1,3,2,polylectic,ground,solitary,7,7,6.5,400,1,1,1,0,0,1,4
"Lasioglossum tricinctum (SCHENCK, 1874)",3,4,3,polylectic,ground,social,6.5,6,6.5,400,0,1,0,0,0,1,2
"Lasioglossum villosulum (KIRBY, 1802)",1,2,2,polylectic,ground,solitary,6.5,8,6.5,800,1,1,1,1,1,1,6
"Nomada errans LEPELETIER, 1841",4,5,3,cuckoo,host nest,cuckoo,7,3,6.5,400,0,1,1,1,1,1,5
"Nomada posthuma BLÜTHGEN, 1949",unknown,5,insufficient data,cuckoo,host nest,cuckoo,6,3,6.5,400,1,0,0,0,0,0,1
"Osmia andrenoides SPINOLA, 1808",4,4,4,oligolectic,above,solitary,6.5,4,6.5,800,0,1,0,0,0,1,2
"Osmia crenulata (NYLANDER, 1856)",1,3,2,oligolectic,above,solitary,7.5,4,6.5,800,0,0,0,1,1,0,2
"Osmia truncorum (LINNAEUS, 1758)",1,2,2,oligolectic,above,solitary,7.5,4,6.5,800,0,0,0,1,1,0,2
