genus;specie;parasitic
Bombus;bohemicus;yes
Bombus;sylvestris;yes
Bombus;vestalis;yes
Bombus;rupestris;yes
Bombus;hortorum;no
Bombus;hypnorum;no
Bombus;lapidarius;no
Bombus;pascuorum;no
Bombus;pratorum;no
Bombus;lucorum/terrestris complex;no
