Genus;specie;N;m_IT;n_IT;se_IT
Hylaeus;angustatus;7;0.9 ;5;0.04
Hylaeus;annulatus;17;1.5 ;10;0.10
Hylaeus;brevicornis;2;0.95 ;10;0.04
Hylaeus;communis;24;1.4 ;10;0.05
Hylaeus;confusus;69;1.5 ;10;0.10
Hylaeus;hyalinatus;7;1.2 ;10;0.13
Hylaeus;rinki;1;1.15 ;2;0.05
Hoplitis;tuberculata;1;2.2 ;10;0.17
Megachile;nigriventris;2;4.3 ;3;0.13
Megachile;versicolor;1;3.3 ;10;0.16
Osmia;bicornis;1;3.1 ;10;0.13
Osmia;caerulescens;1;2.5 ;8;0.22
Osmia;nigriventris;8;3.3 ;8;0.16
Osmia;parietina;4;2.1 ;9;0.16
Osmia;uncinata;2;2.5 ;3;0.11
