"local_id","species","collector","taxonomist","day","month","year","lat","long","location","country","IT","sex","plant_genus","plant_species","doi","Contributor_name","Contributor_last_name","ORCID"
242,"Andrena?? sp","I. Bartomeus","",25,5,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",1.62,"hembra","Cistus ","albidus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
243,"Andrena  agilissima","I. Bartomeus","L.O. Aguado",25,5,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",2.7,"hembra","Thymelea ","hirsuta","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
244,"Andrena agilissima","I. Bartomeus","L.O. Aguado",26,4,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",2.31,"macho","Thymelea ","hirsuta","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
245,"Andrena colletiformis","I. Bartomeus","L.O. Aguado",28,4,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",1.7,"hembra","Sonchus ","tenerrimus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
246,"Andrena senecionis","I. Bartomeus","L.O. Aguado",13,4,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",2.17,"hembra","Sonchus ","tenerrimus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
247,"Andrena senecionis","I. Bartomeus","L.O. Aguado",13,4,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",2,"hembra","Sonchus ","tenerrimus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
248,"Andrena senecionis","I. Bartomeus","L.O. Aguado",21,4,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",2.22,"hembra","Urospermum","picroides","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
249,"Andrena sp","I. Bartomeus",NA,26,4,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",2.11,"hembra","Cistus ","monspeliensis","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
250,"Andrena villipes","I. Bartomeus","L.O. Aguado",NA,4,2006,"42.3202451","3.314970799999969","Cap de creus","Spain",2.39,"hembra","Cistus ","monspeliensis","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
251,"Andrena villipes","I. Bartomeus","L.O. Aguado",21,6,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",2.38,"hembra","Cistus ","monspeliensis","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
