species,order,superfamily,family,subfamily,tribe,genus,subgenus
Thyreus praevalens,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus pretextus,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus priesneri,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus proximus,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus quadrimaculatus,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus quinquefasciatus,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus ramosellus,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus ramosus,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus regalis,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus rotundatus,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus rufitarsus,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus scotaspis,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus scutellaris,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus sejuncta,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus sicarius,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus smithii,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus somalicus,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus sphenophorus,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus splendidulus,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus stellifera,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus strandi,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus surniculus,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus takaonis,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus tinctus,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus tricuspis,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus truncatus,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus tschoffeni,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus uniformis,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus vachali,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus wallacei,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Thyreus waroonensis,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Thyreus,
Xeromelecta alayoi,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Xeromelecta,
Xeromelecta californica,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Xeromelecta,
Xeromelecta haitensis,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Xeromelecta,
Xeromelecta interrupta,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Xeromelecta,
Xeromelecta larreae,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Xeromelecta,
Xeromelecta tibialis,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Xeromelecta,
Zacosmia maculata,Hymenoptera,Apoidea,Apidae,Apinae,Melectini,Zacosmia,
Trigona armata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Trigona,
Apotrigona nebulata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Apotrigona,
Austroplebeia australis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Austroplebeia,
Austroplebeia cassiae,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Austroplebeia,
Austroplebeia cincta,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Austroplebeia,
Austroplebeia cockerelli,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Austroplebeia,
Austroplebeia essingtoni,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Austroplebeia,
Austroplebeia ornata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Austroplebeia,
Austroplebeia percincta,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Austroplebeia,
Austroplebeia symei,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Austroplebeia,
Austroplebeia websteri,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Austroplebeia,
Axestotrigona cameroonensis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Axestotrigona,
Axestotrigona ferruginea,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Axestotrigona,
Axestotrigona richardsi,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Axestotrigona,
Axestotrigona simpsoni,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Axestotrigona,
Camargoia camargoi,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Camargoia,
Camargoia nordestina,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Camargoia,
Camargoia pilicornis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Camargoia,
Cephalotrigona capitata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Cephalotrigona,
Cephalotrigona eburneiventer,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Cephalotrigona,
Cephalotrigona femorata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Cephalotrigona,
Cephalotrigona oaxacana,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Cephalotrigona,
Cephalotrigona zexmeniae,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Cephalotrigona,
Cleptotrigona cubiceps,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Cleptotrigona,
Dactylurina schmidti,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Dactylurina,
Dactylurina staudingeri,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Dactylurina,
Duckeola ghilianii,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Duckeola,
Duckeola pavani,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Duckeola,
Friesella schrottkyi,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Friesella,
Frieseomelitta dispar,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Frieseomelitta,
Frieseomelitta doederleini,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Frieseomelitta,
Frieseomelitta flavicornis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Frieseomelitta,
Frieseomelitta francoi,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Frieseomelitta,
Frieseomelitta languida,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Frieseomelitta,
Frieseomelitta lehmanni,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Frieseomelitta,
Frieseomelitta longipes,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Frieseomelitta,
Frieseomelitta nigra,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Frieseomelitta,
Frieseomelitta paranigra,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Frieseomelitta,
Frieseomelitta paupera,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Frieseomelitta,
Frieseomelitta portoi,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Frieseomelitta,
Frieseomelitta silvestrii,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Frieseomelitta,
Frieseomelitta trichocerata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Frieseomelitta,
Frieseomelitta varia,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Frieseomelitta,
Geniotrigona incisa,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geniotrigona,
Geniotrigona thoracica,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geniotrigona,
Geotrigona acapulconis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona aequinoctialis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona argentina,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona chiriquiensis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona fulvatra,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona fulvohirta,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona fumipennis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona kraussi,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona kwyrakai,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona leucogastra,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona lutzi,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona mattogrossensis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona mombuca,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona subfulva,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona subgrisea,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona subnigra,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona subterranea,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona tellurica,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona terricola,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Geotrigona xanthopoda,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Geotrigona,
Heterotrigona bakeri,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Heterotrigona,
Heterotrigona erythrogastra,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Heterotrigona,
Heterotrigona itama,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Heterotrigona,
Homotrigona fimbriata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Homotrigona,
Hypotrigona araujoi,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Hypotrigona,
Hypotrigona gribodoi,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Hypotrigona,
Hypotrigona penna,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Hypotrigona,
Hypotrigona ruspolii,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Hypotrigona,
Lepidotrigona latipes,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lepidotrigona,
Lepidotrigona nitidiventris,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lepidotrigona,
Lepidotrigona terminata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lepidotrigona,
Lepidotrigona trochanterica,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lepidotrigona,
Lepidotrigona ventralis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lepidotrigona,
Lestrimelitta chamelensis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta ciliata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta danuncia,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta ehrhardti,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta glaberrima,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta glabrata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta guyanensis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta limao,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta maracaia,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta monodonta,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta mourei,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta nana,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta niitkib,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta rufa,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta rufipes,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta similis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta spinosa,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta sulina,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Lestrimelitta tropica,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lestrimelitta,
Leurotrigona muelleri,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Leurotrigona,
Leurotrigona pusilla,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Leurotrigona,
Liotrigona betsimisaraka,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Liotrigona,
Liotrigona bitika,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Liotrigona,
Liotrigona bottegoi,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Liotrigona,
Liotrigona chromensis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Liotrigona,
Liotrigona madecassa,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Liotrigona,
Liotrigona mahafalya,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Liotrigona,
Liotrigona nilssoni,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Liotrigona,
Liotrigona parvula,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Liotrigona,
Liotrigona voeltzkovi,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Liotrigona,
Lisotrigona cacciae,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lisotrigona,
Lisotrigona carpenteri,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lisotrigona,
Lisotrigona furva,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lisotrigona,
Lisotrigona mohandasi,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lisotrigona,
Lisotrigona scintillans,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lisotrigona,
Lophotrigona canifrons,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Lophotrigona,
Meliplebeia beccarii,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Meliplebeia,
Meliplebeia gambiana,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Meliplebeia,
Meliplebeia ogouensis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Meliplebeia,
Meliplebeia roubiki,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Meliplebeia,
Melipona amazonica,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona asilvai,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona baeri,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona beecheii,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona belizeae,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona bicolor,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona boliviana,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona brachychaeta,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona bradleyi,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona capixaba,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona captiosa,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona carrikeri,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona colimana,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona compressipes,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona cramptoni,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona crinita,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona dubia,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona eburnea,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona fasciata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona fasciculata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona favosa,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona flavolineata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona fuliginosa,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona fulva,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona fuscata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona fuscopilosa,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona grandis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona illota,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona indecisa,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona interrupta,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona lateralis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona lupitae,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona mandacaia,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona marginata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona melanoventer,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona merrillae,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona micheneri,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona mimetica,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona mondury,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona nebulosa,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona nigrescens,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona obscurior,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona ogilviei,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona orbignyi,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona panamica,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona paraensis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona peruviana,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona puncticollis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona quadrifasciata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona quinquefasciata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona rufescens,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona rufiventris,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona salti,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona schwarzi,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona scutellaris,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona seminigra,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona solani,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona subnitida,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona torrida,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona triplaridis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona tumupasae,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona variegatipes,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Melipona yucatanica,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Melipona,
Meliponula bocandei,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Meliponula,
Meliwillea bivea,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Meliwillea,
Mourella caerulea,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Mourella,
Nannotrigona chapadana,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Nannotrigona,
Nannotrigona dutrae,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Nannotrigona,
Nannotrigona melanocera,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Nannotrigona,
Nannotrigona mellaria,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Nannotrigona,
Nannotrigona minuta,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Nannotrigona,
Nannotrigona perilampoides,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Nannotrigona,
Nannotrigona punctata,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Nannotrigona,
Nannotrigona schultzei,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Nannotrigona,
Nannotrigona testaceicornis,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Nannotrigona,
Nannotrigona tristella,Hymenoptera,Apoidea,Apidae,Apinae,Meliponini,Nannotrigona,
