species,order,superfamily,family,subfamily,tribe,genus,subgenus
Habropoda plantifera,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda radoszkowskii,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda rowlandi,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda rufipes,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda salviae,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda salviarum,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda schafelneri,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda semifulva,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda sichuanensis,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda sinensis,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda sutepensis,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda tadzhica,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda tainanicola,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda tarsata,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda tristissima,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda tumidifrons,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda turneri,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda ventiscopula,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda vierecki,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda xizangensis,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda yunnanensis,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Habropoda zonatula,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Habropoda,
Pachymelus abessinicus,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus androyanus,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus beharensis,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus bettoni,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus bicolor,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus ciliatus,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus claviger,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus conspicuus,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus festivus,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus flavithorax,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus heydenii,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus hova,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus limbatus,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus micrelephas,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus oculariellus,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus ocularis,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus peringueyi,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus radovae,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus ratsiraka,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus reichardti,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Pachymelus unicolor,Hymenoptera,Apoidea,Apidae,Apinae,Anthophorini,Pachymelus,
Apis andreniformis,Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,
Apis cerana,Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,
Apis dorsata,Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,
Apis florea,Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,
Apis koschevnikovi,Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,
Apis mellifera,Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,
Apis nigrocincta,Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,
Bombus abnormis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus affinis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus alpinus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus amurensis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus anachoreta,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus appositus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus ardens,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus argillaceus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus armeniacus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus ashtoni,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus asiaticus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus atratus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus atripes,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus auricomus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus avanus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus avinoviellus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus baeri,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus balteatus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus barbutellus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus beaticola,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus bellardii,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus bellicosus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus bicoloratus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus bifarius,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus bimaculatus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus biroi,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus bohemicus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus borealis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus braccatus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus brachycephalus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus branickii,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus brasiliensis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus breviceps,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus brevivillus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus brodmannicus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus californicus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus caliginosus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus campestris,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus centralis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus chinensis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus cingulatus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus citrinus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus coccineus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus cockerelli,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus confusus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus consobrinus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus convexus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus coreanus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus cornutus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus crotchii,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus cullumanus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus czerskii,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus dahlbomii,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus defector,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus deuteronymus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus digressus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus diligens,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus distinguendus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus diversus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus ecuadorius,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus ephippiatus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus excellens,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus exil,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus eximius,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus expolitus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus fedtschenkoi,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus ferganicus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus fernaldae,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus fervidus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus festivus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus filchnerae,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus flavescens,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus flavidus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus flavifrons,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus formosellus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus fragrans,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus franklini,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus fraternus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus frigidus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus friseanus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus funebris,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus funerarius,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus genalis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus gerstaeckeri,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus grahami,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus griseocollis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus guatemalensis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus haematurus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus haemorrhoidalis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus handlirschi,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus handlirschianus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus haueri,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus hedini,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus himalayanus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus honshuensis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus hortorum,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus hortulanus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus humilis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus huntii,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus hyperboreus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus hypnorum,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus hypocrita,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus ignitus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus imitator,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus impatiens,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus impetuosus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus incertus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus inexspectatus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus infirmus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus infrequens,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus insularis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus intrudens,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus irisanensis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus jonellus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus kashmirensis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus keriensis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus koreanus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus kulingensis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus ladakhensis,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus laesus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus lapidarius,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus lapponicus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus lemniscatus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus lepidus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus longipes,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus lucorum,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus luteipes,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus macgregori,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus makarjini,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus marussinus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus maxillosus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus medius,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus melaleucus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus melanopoda,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus melanopygus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus melanurus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus mendax,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus mesomelas,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus mexicanus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus miniatus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus mirus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus mixtus,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
Bombus mlokosievitzii,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,
