"local_id","species","day","month","year","country","m_IT","n_IT","m_sex","doi","name","description","Contributor_name","Contributor_lastname"
40,"Andrena barbilabris",15,4,1910,"Netherlands",2.3,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
41,"Andrena barbilabris",NA,5,1940,"Netherlands",2.3,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
42,"Andrena barbilabris",23,4,1940,"Netherlands",2.3,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
43,"Andrena barbilabris",NA,5,1940,"Netherlands",2.4,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
44,"Andrena barbilabris",15,7,1926,"Netherlands",2.3,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
45,"Andrena barbilabris",26,5,1926,"Netherlands",2.6,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
46,"Andrena barbilabris",20,4,1926,"Netherlands",2.4,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
47,"Andrena barbilabris",NA,6,1926,"Netherlands",2.4,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
48,"Andrena barbilabris",20,6,1926,"Netherlands",1.9,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
49,"Andrena barbilabris",NA,5,1921,"Netherlands",2.3,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
