species,order,superfamily,family,subfamily,tribe,genus,subgenus
Callonychium argentinum,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Callonychium,
Callonychium aricense,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Callonychium,
Callonychium atacamense,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Callonychium,
Callonychium brasiliense,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Callonychium,
Callonychium chilense,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Callonychium,
Callonychium coquimbense,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Callonychium,
Callonychium flaviventre,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Callonychium,
Callonychium luteimaculatum,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Callonychium,
Callonychium mandibulare,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Callonychium,
Callonychium minutum,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Callonychium,
Callonychium petuniae,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Callonychium,
Litocalliopsis adesmiae,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Litocalliopsis,
Spinoliella herbsti,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Spinoliella,
Spinoliella karhadra,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Spinoliella,
Spinoliella longirostris,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Spinoliella,
Spinoliella maculata,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Spinoliella,
Spinoliella nomadoides,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Spinoliella,
Spinoliella opaca,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Spinoliella,
Spinoliella psamita,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Spinoliella,
Spinoliella rozeni,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Spinoliella,
Spinoliella rufiventris,Hymenoptera,Apoidea,Andrenidae,Panurginae,Calliopsini,Spinoliella,
Borgatomelissa brevipennis,Hymenoptera,Apoidea,Andrenidae,Panurginae,Melitturgini,Borgatomelissa,
Borgatomelissa niveopilosa,Hymenoptera,Apoidea,Andrenidae,Panurginae,Melitturgini,Borgatomelissa,
Flavomeliturgula berangeriae,Hymenoptera,Apoidea,Andrenidae,Panurginae,Melitturgini,Flavomeliturgula,
Flavomeliturgula centaurea,Hymenoptera,Apoidea,Andrenidae,Panurginae,Melitturgini,Flavomeliturgula,
