species,order,superfamily,family,subfamily,tribe,genus,subgenus
Alocandrena porteri,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Alocandrena,
Ancylandrena atoposoma,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Ancylandrena,
Ancylandrena koebelei,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Ancylandrena,
Ancylandrena larreae,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Ancylandrena,
Ancylandrena rozeni,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Ancylandrena,
Ancylandrena timberlakei,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Ancylandrena,
Andrena abbreviata,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena aberrans,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena abjecta,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena ablegata,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena abrupta,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena aburana,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena accepta,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena acerba,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena aciculata,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena acrana,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena aculeata,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena acutilabris,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena adjacens,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena aegyptiaca,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena aegypticola,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena aeneiventris,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena aerifera,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena aerinifrons,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena aeripes,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena aetherea,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena afghana,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena afimbriata,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena afrensis,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena africana,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena agilis,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena agilissima,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena agnata,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena agoseridis,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena ahenea,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena aiderensis,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena ailisensis,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena aino,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena akitsushimae,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena alamonis,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena alashanica,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena albicaudata,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena albiculta,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena albifacies,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena albopicta,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena albopunctata,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena albuginosa,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena alceae,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena alchata,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena alfkenella,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena alfkenelloides,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena algida,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena aliciae,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena aliciarum,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena alijevi,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena alleghaniensis,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena allosa,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena alluaudi,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena almas,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena altaica,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena alutacea,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena amamiensis,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena amarilla,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena amicula,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena amoena,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena amphibola,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena ampla,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena anatolica,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena anatolis,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena andrenoides,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena angarensis,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena angelesia,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena angustella,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena angusticrus,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena angustifovea,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena angustior,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena angustitarsata,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena anisochlora,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena annapurna,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena annectens,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena anograe,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena anonyma,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena anthracina,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena anthrisci,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
Andrena antigana,Hymenoptera,Apoidea,Andrenidae,Andreninae,,Andrena,
