species,order,superfamily,family,subfamily,tribe,genus,subgenus
Epanthidium autumnale,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium bertonii,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium bicoloratum,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium boharti,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium bolivianum,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium chapadense,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium confusum,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium desantisi,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium dilmae,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium erythrocephalum,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium flavoclypeatum,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium inerme,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium joergenseni,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium maculatum,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium nectarinioides,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium nigrescens,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium paraguayense,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium sanguineum,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium tigrinum,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium trichura,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium trilobatus,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Epanthidium tuberculatum,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Epanthidium,
Euaspis abdominalis,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Euaspis,
Euaspis aequicarinata,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Euaspis,
Euaspis basalis,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidiini,Euaspis,
