species,order,superfamily,family,subfamily,tribe,genus,subgenus
Braunsapis diminutoides,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis dolichocephala,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis draconis,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis elizabethana,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis eximia,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis facialis,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis falcata,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis flavitarsis,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis flaviventris,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis foveata,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis fuscinervis,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis ghanae,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis gorillarum,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis hewitti,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis hirsuta,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis hyalina,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis indica,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis kaliago,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis langenburgensis,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis lateralis,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis leptozonia,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis liliputana,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis longula,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis luapulana,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis lyrata,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis maculata,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis madecassa,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis madecassella,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis malliki,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis minor,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis minutula,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis mixta,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis natalica,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis nautica,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis neavei,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis nitida,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis occidentalis,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis otavica,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis palavanica,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis pallida,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis paradoxa,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis philippinensis,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis picitarsis,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis platyura,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis plebeia,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis plumosa,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
Braunsapis praesumptiosa,Hymenoptera,Apoidea,Apidae,Xylocopinae,Allodapini,Braunsapis,
